codigo,nombre,apellido,dni,telefono
2001,JOSE,GARCES,71358479,979871221
2002,MARCOS ,TALAVERA ,73262695,952345232
2003,RAFAEL,DURAN,78767239,921362313
2004,VICTOR ,MENDES,79188262,981413515
2005,MARIA,CRUCES,70792689,958512358
2006,MILAGROS,ASENCIO,76862755,934546735
2007,CLAUDIA,SALMERON,74188735,934436136
2008,RUBEN,CARRION,72263581,957285390
2009,XAVIER,ORTIGOSA,77821952,963468433
2010,MERCEDES,CERVANTES,71536334,941532253
2011,CATALINA,ISLA,72020394,932823219
2012,ANDREA,VALCARCEL,72445186,923585280
2013,VICTORIA,GARROTE,73997990,910283596
2014,ALFONSO,POZA,71470915,933535292
2015,GABRIEL,PANTOJA,69559268,918567324
2016,TERESA,QUIJADA,69896646,992342112
2017,MARIA,CUERVO,71562290,983312858
2018,JESUS,POLANCO,70976702,922358133
2019,HECTOR,TORRE,73033495,923438819
2020,FRANCISCO,JIMENEZ,68341153,902242483
2021,CARMEN ,BAUTISTA,70325315,946223991
2022,ESTHER,MELGAREJO,73432412,942323815
2023,JESUS,PRADAS,78451535,975433482
2024,SAMUEL,FIGUEROA,68143126,963767153
2025,ANA,NIEVES,78952225,985158133
